bathrooms,bedrooms,floors,waterfront,view,condition,grade,zipcode,lat,long,dist_stop,ncult,age,since_renovated,m2_living,m2_lot,m2_above,m2_basement,m2_living15,m2_lot15,district_name
2.0,3,1.0,0,0,3,6,98199,47.6542,-122.385,62.0,3.0,71,71,157.9351,394.83774999999997,82.68367,75.25143,133.78032,394.83774999999997,Seattle
1.0,3,1.0,0,0,4,7,98092,47.3199,-122.1,4280.0,0.0,54,54,130.99323,3762.5715,130.99323,0.0,145.85771,3762.5715,King County
1.0,3,1.0,0,0,4,7,98146,47.503,-122.364,172.0,2.0,61,61,116.12875,785.03035,116.12875,0.0,125.41905,863.9979,King County
3.25,5,2.0,0,0,4,8,98042,47.3904,-122.154,1352.0,0.0,16,16,308.43796,1053.52002,230.39944,78.03852,216.46399,774.718117,Kent
2.25,4,2.0,0,0,3,8,98055,47.4379,-122.192,535.0,1.0,35,35,214.60593,695.84347,214.60593,0.0,214.60593,787.81744,Renton
3.25,4,2.5,0,0,3,9,98103,47.6706,-122.356,167.0,6.0,11,11,254.55422,496.009117,254.55422,0.0,164.43831,447.79246,Seattle
1.75,3,1.0,0,0,4,7,98133,47.749,-122.351,147.0,3.0,68,68,143.07062,752.5143,87.32882,55.7418,170.94152,752.5143,Shoreline
1.75,4,1.0,0,0,3,7,98034,47.726,-122.21,191.0,2.0,44,44,159.79316,812.90125,79.89658,79.89658,166.29637,812.90125,Kirkland
2.5,3,2.0,0,0,3,8,98034,47.7188,-122.177,129.0,0.0,28,28,167.2254,499.074916,167.2254,0.0,153.28995,558.718642,Kirkland
2.0,2,1.0,0,0,4,7,98116,47.5691,-122.394,177.0,3.0,65,65,148.6448,554.538007,74.3224,74.3224,141.21256,554.538007,Seattle
2.0,4,3.0,0,0,5,8,98116,47.5711,-122.383,391.0,5.0,98,98,205.12982399999999,464.515,205.12982399999999,0.0,163.50928,464.515,Seattle
2.75,4,2.0,0,0,3,9,98058,47.4362,-122.109,1917.0,0.0,15,15,259.19937,613.1598,259.19937,0.0,269.4187,627.281056,King County
1.0,3,1.0,0,1,3,7,98198,47.4013,-122.321,73.0,4.0,61,61,147.71577,758.08848,101.26427,46.4515,143.07062,975.4815,King County
1.0,3,1.0,0,0,3,7,98058,47.4604,-122.18,358.0,0.0,54,14,98.47718,733.9337,98.47718,0.0,121.70293,733.9337,Renton
2.5,3,2.0,0,0,3,7,98198,47.384,-122.322,166.0,0.0,24,24,198.81242,716.746645,198.81242,0.0,184.87697,708.664084,King County
2.5,3,2.0,0,0,3,7,98038,47.3826,-122.028,402.0,0.0,18,18,157.9351,622.264294,157.9351,0.0,203.45757,682.465438,King County
1.5,3,1.0,0,0,3,7,98125,47.7144,-122.293,162.0,6.0,56,56,193.23824,487.183332,110.55457,82.68367,171.87055,648.648746,Seattle
1.0,2,1.0,0,0,3,6,98032,47.4122,-122.267,454.0,0.0,68,68,89.18688,2029.93055,89.18688,0.0,94.76106,2029.93055,Kent
2.5,4,1.0,0,0,3,7,98001,47.3338,-122.268,1167.0,0.0,31,31,193.23824,914.722938,115.19972,78.03852,175.58667,741.087231,King County
1.0,2,1.0,0,0,3,7,98125,47.7278,-122.289,288.0,1.0,57,57,105.90942,756.880741,105.90942,0.0,117.05778,756.973644,Seattle
2.75,4,1.0,0,0,4,8,98052,47.6299,-122.099,137.0,1.0,38,38,280.56706,1256.97759,143.07062,137.49644,207.17369,1105.174088,King County
1.0,3,1.0,0,0,3,6,98125,47.731,-122.303,328.0,0.0,71,71,117.05778,634.155878,66.89016,50.16762,120.7739,634.155878,Seattle
2.25,3,2.0,0,0,3,7,98014,47.6367,-121.948,3245.0,0.0,34,34,255.48325,20396.110426,173.72861,81.75464,225.75429,20396.110426,King County
3.0,3,2.0,0,2,3,11,98109,47.6377,-122.342,111.0,2.0,7,7,295.43154,256.226474,208.10272,87.32882,224.82526,256.226474,Seattle
1.0,3,1.0,0,0,4,7,98056,47.4899,-122.185,91.0,0.0,35,35,90.11591,729.660162,90.11591,0.0,137.49644,724.6434,Renton
2.0,3,1.0,0,0,3,7,98028,47.7703,-122.265,1333.0,0.0,31,31,178.37376,668.9016,120.7739,57.59986,186.73503,668.9016,King County
1.0,2,1.0,0,0,3,7,98065,47.513,-121.857,1740.0,0.0,24,24,132.85129,33993.579312,93.83203,39.01926,213.6769,23552.675657,King County
2.5,4,2.0,0,0,4,9,98056,47.5318,-122.17,647.0,0.0,26,26,264.77355,2414.827679,264.77355,0.0,230.39944,1177.266816,King County
1.25,1,3.0,0,0,3,9,98112,47.6228,-122.307,69.0,6.0,1,1,102.1933,59.272114,102.1933,0.0,103.12233,179.581499,Seattle
3.5,5,2.0,0,0,3,10,98199,47.6423,-122.394,109.0,3.0,14,14,295.43154,429.955084,224.82526,70.60628,191.38018,431.06992,Seattle
1.75,3,1.0,0,0,3,7,98058,47.4288,-122.153,1680.0,0.0,41,41,147.71577,676.33384,105.90942,41.80635,147.71577,895.027502,King County
2.25,3,2.0,0,0,3,8,98029,47.5478,-121.999,2074.0,1.0,10,10,136.56741,158.213809,136.56741,0.0,128.20614,102.843621,King County
2.75,4,1.0,0,0,3,7,98034,47.733,-122.22,822.0,0.0,36,36,170.01248999999999,778.898752,122.63195999999999,47.38053,203.45757,714.888585,Kirkland
2.5,4,2.0,0,0,3,9,98033,47.6962,-122.179,318.0,0.0,6,6,254.55422,703.368613,254.55422,0.0,267.56064,669.180309,Kirkland
1.5,3,2.0,0,0,3,7,98199,47.6471,-122.397,368.0,4.0,70,70,126.34808,166.760885,126.34808,0.0,146.78674,166.760885,Seattle
3.25,2,2.0,0,0,3,8,98126,47.548,-122.375,130.0,3.0,9,9,145.85771,188.685993,121.70293,24.15478,145.85771,189.429217,Seattle
3.25,4,2.0,0,3,3,11,98074,47.6239,-122.065,2217.0,0.0,26,26,357.67655,1843.381326,295.43154,62.24501,401.34096,1811.6085,Sammamish
1.0,3,1.0,0,0,4,7,98059,47.4869,-122.123,188.0,0.0,48,48,196.95436,718.604705,98.47718,98.47718,93.83203,796.17871,King County
2.25,3,1.0,0,2,3,6,98074,47.6302,-122.069,1864.0,0.0,32,32,204.944018,7620.925993,80.453998,124.49002,240.61877,4926.088672,Sammamish
2.0,3,2.0,0,0,3,8,98103,47.6864,-122.345,50.0,12.0,28,28,135.63838,242.47683,135.63838,0.0,122.63195999999999,278.709,Seattle
2.25,2,2.0,0,0,3,8,98122,47.6124,-122.309,48.0,53.0,7,7,109.62554,116.407459,78.03852,31.58702,121.70293,182.368589,Seattle
2.5,3,2.0,0,0,3,8,98019,47.7462,-121.978,827.0,5.0,16,16,314.01214,657.195822,204.3866,109.62554,191.38018,608.328844,King County
1.0,3,1.0,0,0,4,7,98155,47.7362,-122.319,316.0,0.0,63,63,111.4836,854.150182,111.4836,0.0,123.56099,803.61095,Shoreline
1.0,2,1.0,0,0,3,6,98125,47.7171,-122.307,243.0,8.0,73,73,74.3224,815.223825,74.3224,0.0,136.56741,833.897328,Seattle
2.0,4,1.5,0,0,3,8,98109,47.6385,-122.344,64.0,2.0,88,88,130.99323,416.20544,130.99323,0.0,115.19972,315.8702,Seattle
2.5,4,2.0,0,0,3,7,98059,47.4873,-122.144,135.0,0.0,13,13,221.10914,1121.060501,221.10914,0.0,216.46399,800.916763,Renton
2.25,4,1.0,0,0,4,8,98004,47.6076,-122.192,130.0,6.0,56,56,182.08988,806.39804,119.84487,62.24501,200.67048,806.39804,Bellevue
2.5,4,1.0,0,0,3,7,98001,47.263,-122.242,195.0,0.0,28,28,169.08346,763.383951,104.05136,65.0321,121.70293,763.383951,King County
3.0,5,1.0,0,0,4,8,98052,47.697,-122.097,396.0,0.0,29,29,215.53496,671.595787,127.27711,88.25785,194.16727,701.789262,King County
3.0,3,1.0,0,0,3,10,98052,47.7318,-122.139,2350.0,2.0,34,34,276.85094,2601.284,169.08346,107.76748,238.76071,2647.7355,King County
2.25,3,2.0,0,0,4,10,98056,47.5197,-122.191,414.0,0.0,33,33,303.79281,15607.704,303.79281,0.0,299.14766,739.786589,Renton
1.75,2,1.0,0,0,5,7,98103,47.686,-122.351,408.0,34.0,90,90,159.79316,278.709,79.89658,79.89658,126.34808,418.0635,Seattle
2.5,3,2.0,0,0,3,7,98003,47.2597,-122.31,3430.0,0.0,28,28,187.66406,2477.72301,187.66406,0.0,156.07704,1016.265917,King County
2.5,3,2.0,0,0,3,7,98065,47.5415,-121.884,1192.0,0.0,8,8,228.54138,408.680297,228.54138,0.0,191.38018,408.680297,King County
3.0,4,2.0,0,0,3,10,98045,47.4883,-121.725,208.0,0.0,17,17,315.8702,27194.844869,315.8702,0.0,163.50928,6474.967488,King County
1.75,3,1.0,0,0,3,8,98059,47.4804,-122.151,287.0,0.0,38,38,211.81884,7243.832716,135.63838,76.18046,228.54138,1340.59029,Renton
1.0,4,1.5,0,2,3,7,98178,47.5026,-122.234,193.0,0.0,72,72,112.41263,557.418,112.41263,0.0,136.56741,557.418,King County
2.5,4,2.0,0,0,3,7,98038,47.3546,-122.015,477.0,1.0,12,12,151.43189,415.555119,151.43189,0.0,170.01248999999999,472.133046,King County
2.25,3,3.0,0,0,3,8,98107,47.6682,-122.361,57.0,8.0,6,6,127.27711,93.553321,123.56099,3.71612,145.85771,151.896405,Seattle
1.75,3,1.5,0,0,4,8,98117,47.6885,-122.38,276.0,3.0,85,85,189.52212,372.076515,161.65122,27.8709,128.20614,372.076515,Seattle
3.25,4,2.0,0,0,3,8,98027,47.5402,-122.028,780.0,1.0,4,4,241.5478,192.680822,199.74145,41.80635,233.18653,192.680822,King County
3.0,4,1.0,0,0,3,8,98092,47.321,-122.185,221.0,0.0,23,23,191.38018,848.947614,132.85129,58.52889,209.03175,726.50146,King County
2.25,3,1.5,0,0,3,8,98072,47.7403,-122.112,2362.0,0.0,38,38,193.23824,10359.892239,156.07704,37.1612,226.68332,9955.206771,King County
1.0,2,1.0,0,0,3,7,98056,47.5135,-122.193,308.0,0.0,59,59,94.76106,752.700106,94.76106,0.0,164.43831,677.355773,Renton
2.0,2,1.5,0,0,4,6,98118,47.5643,-122.284,19.0,19.0,105,105,122.63195999999999,284.28318,122.63195999999999,0.0,130.99323,303.235392,Seattle
3.25,3,2.0,0,0,4,11,98053,47.6671,-122.051,1701.0,0.0,27,27,491.45687,20851.335125999998,421.77962,69.67725,348.38625,7890.809208,King County
2.5,3,1.0,0,1,3,7,98004,47.5809,-122.191,193.0,0.0,63,63,204.3866,1858.06,130.0642,74.3224,283.35415,1093.932825,Bellevue
2.25,4,2.0,0,0,5,9,98072,47.732,-122.134,2770.0,1.0,91,59,307.50893,11857.302793,307.50893,0.0,355.81849,4083.922977,King County
2.5,2,2.0,0,0,3,9,98103,47.6875,-122.339,243.0,2.0,8,8,108.69651,75.158527,108.69651,0.0,108.69651,104.144263,Seattle
4.0,5,2.0,0,0,3,10,98075,47.5923,-121.973,5280.0,0.0,0,0,405.05708,746.01109,405.05708,0.0,331.66371,574.605055,Sammamish
3.5,4,2.0,0,0,3,12,98074,47.6035,-122.005,3004.0,0.0,17,17,405.05708,2285.692509,405.05708,0.0,443.14731,2556.783463,Sammamish
1.75,4,1.0,0,0,3,8,98058,47.4483,-122.129,344.0,0.0,41,41,154.21898,758.08848,154.21898,0.0,167.2254,713.866652,King County
2.0,4,1.0,0,0,3,7,98001,47.2845,-122.25,453.0,0.0,56,56,159.79316,702.34668,159.79316,0.0,162.58025,742.109164,King County
2.5,4,2.0,0,0,3,8,98055,47.4513,-122.202,768.0,0.0,4,4,168.340236,466.930478,168.340236,0.0,226.68332,558.068321,Renton
2.25,3,3.0,0,0,3,8,98107,47.6748,-122.377,145.0,10.0,1,1,115.19972,116.12875,115.19972,0.0,136.56741,116.12875,Seattle
1.0,1,1.0,1,4,3,5,98070,47.4716,-122.445,1702.0,0.0,80,80,98.47718,5095.357938,98.47718,0.0,209.774974,2950.785086,King County
1.5,3,1.0,0,0,3,7,98034,47.73,-122.191,509.0,0.0,39,39,147.71577,627.09525,100.33524,47.38053,147.71577,687.4822,Kirkland
2.25,3,2.0,0,0,3,7,98045,47.4817,-121.749,1051.0,0.0,31,31,248.98004,3832.24875,248.98004,0.0,180.23182,4370.528732,King County
1.0,3,1.0,0,0,3,7,98146,47.5112,-122.359,550.0,2.0,50,50,104.05136,696.7725,104.05136,0.0,104.05136,464.515,King County
2.5,4,2.0,0,0,3,8,98003,47.3432,-122.316,383.0,0.0,28,28,215.53496,685.531237,215.53496,0.0,207.17369,707.363442,Federal Way
2.5,4,2.0,0,0,3,8,98118,47.5514,-122.263,84.0,2.0,32,32,243.40586,680.793184,243.40586,0.0,155.14801,471.94724,Seattle
2.5,5,1.5,0,0,5,7,98103,47.6872,-122.35,369.0,32.0,99,99,204.3866,379.04424,131.92226,72.46433999999999,120.7739,379.04424,Seattle
1.0,3,1.0,0,0,5,6,98155,47.7601,-122.307,569.0,2.0,67,67,93.83203,668.9016,93.83203,0.0,147.71577,711.915689,Shoreline
5.0,4,1.0,0,3,4,12,98006,47.5524,-122.112,1504.0,0.0,19,19,562.527665,2009.49189,330.270165,232.2575,454.29567,1785.874369,Bellevue
3.0,6,2.0,0,0,3,8,98040,47.5722,-122.226,205.0,1.0,63,13,280.56706,1280.482049,280.56706,0.0,159.79316,1254.1905,Mercer Island
2.5,3,3.0,0,0,3,8,98133,47.7236,-122.353,69.0,5.0,6,6,138.42547,230.21363399999998,138.42547,0.0,117.98681,107.395868,Seattle
2.5,3,2.0,0,0,3,7,98116,47.5902,-122.387,37.0,3.0,6,6,99.40621,101.171367,83.6127,15.79351,134.70935,133.501611,Seattle
3.5,5,2.0,0,0,3,9,98107,47.6607,-122.362,317.0,8.0,1,1,362.3217,408.7732,246.19295,116.12875,110.55457,408.7732,Seattle
2.5,4,2.0,0,0,5,8,98119,47.6402,-122.37,48.0,4.0,107,107,204.3866,371.612,132.85129,71.53531,195.09629999999999,371.612,Seattle
4.0,4,2.0,0,0,3,12,98027,47.5533,-122.098,1145.0,0.0,24,24,418.0635,1095.790885,418.0635,0.0,365.10879,1075.445128,King County
2.0,3,1.0,0,0,3,7,98014,47.6527,-121.949,3343.0,0.0,22,22,218.32205,19424.902464,218.32205,0.0,213.6769,19424.902464,King County
1.75,3,1.0,0,0,3,6,98042,47.37,-122.151,125.0,0.0,28,28,115.19972,962.567983,115.19972,0.0,115.19972,820.705102,Kent
1.0,4,1.5,0,0,4,7,98006,47.5759,-122.137,178.0,0.0,61,61,162.58025,891.8688,162.58025,0.0,162.58025,978.26859,Bellevue
2.25,3,1.0,0,0,5,8,98005,47.5937,-122.172,333.0,0.0,58,58,208.10272,817.5464,208.10272,0.0,208.10272,817.5464,Bellevue
2.5,0,2.0,0,0,3,7,98038,47.3493,-122.053,1065.0,0.0,12,12,168.15443,526.667107,168.15443,0.0,168.15443,528.153555,King County
1.5,2,3.0,0,0,3,8,98133,47.7074,-122.356,65.0,2.0,6,6,109.62554,77.48110199999999,109.62554,0.0,109.62554,112.133921,Seattle
1.0,3,1.0,0,0,4,6,98058,47.4688,-122.163,206.0,0.0,48,48,90.11591,697.051209,90.11591,0.0,114.27069,882.950112,Renton
2.25,4,2.0,0,0,3,9,98007,47.6133,-122.152,143.0,0.0,37,37,285.21220999999997,1274.62916,285.21220999999997,0.0,279.63803,897.164271,Bellevue
2.5,4,1.0,0,0,3,8,98056,47.5074,-122.172,482.0,0.0,8,8,276.85094,1121.803725,177.44473,99.40621,208.10272,1121.803725,Renton
2.25,3,1.0,0,0,3,7,98023,47.2976,-122.377,58.0,0.0,37,37,168.15443,627.09525,118.91584,49.23859,157.00607,721.85631,Federal Way
2.5,4,2.0,0,4,3,9,98065,47.5344,-121.874,306.0,1.0,14,14,280.56706,653.572605,280.56706,0.0,280.56706,629.046213,King County
0.0,0,1.0,0,0,1,1,98024,47.5308,-121.888,998.0,0.0,52,52,26.94187,1939.350125,26.94187,0.0,150.50286,2122.83355,King County
1.0,2,1.5,0,0,4,7,98103,47.6695,-122.338,446.0,6.0,90,90,130.99323,334.4508,121.70293,9.2903,161.65122,390.19259999999997,Seattle
2.5,3,2.0,0,0,3,9,98075,47.5611,-122.032,693.0,0.0,14,14,315.8702,1155.899126,315.8702,0.0,301.93475,802.217405,Sammamish
2.75,5,1.5,0,0,5,7,98002,47.3072,-122.221,195.0,7.0,104,104,271.27676,487.74075,167.2254,104.05136,113.34166,487.74075,King County
1.0,3,1.0,0,0,3,7,98023,47.3033,-122.381,508.0,0.0,39,39,123.56099,641.0307,123.56099,0.0,142.14159,650.321,Federal Way
1.75,3,1.0,0,0,3,7,98034,47.7267,-122.226,313.0,0.0,49,49,122.63195999999999,975.4815,122.63195999999999,0.0,121.70293,975.4815,Kirkland
2.5,4,2.0,0,0,3,10,98029,47.5598,-122.018,611.0,0.0,27,27,222.03817,895.3991139999999,222.03817,0.0,244.33489,860.095974,Sammamish
2.5,2,2.0,0,0,3,8,98103,47.6905,-122.364,138.0,23.0,9,9,118.91584,76.087557,98.47718,20.43866,119.84487,269.4187,Seattle
1.75,3,1.0,0,0,3,8,98075,47.5847,-122.075,2918.0,0.0,44,44,170.94152,873.3811029999999,170.94152,0.0,264.77355,1330.649669,Sammamish
2.25,3,1.5,0,0,3,7,98072,47.7477,-122.171,632.0,1.0,30,30,166.29637,538.279982,128.20614,38.09023,198.81242,721.763407,King County
3.25,3,2.0,0,0,3,8,98106,47.5555,-122.362,224.0,2.0,2,2,142.14159,148.830606,105.90942,36.232169999999996,134.70935,111.297794,Seattle
1.5,3,1.0,0,0,4,7,98004,47.5886,-122.195,404.0,0.0,63,63,169.08346,1178.567458,169.08346,0.0,280.56706,1073.02965,Bellevue
2.0,4,1.0,0,0,5,8,98004,47.6177,-122.217,40.0,0.0,67,67,208.10272,956.529288,208.10272,0.0,232.2575,1014.314954,Bellevue
1.0,4,1.0,0,0,3,7,98178,47.5101,-122.259,69.0,1.0,41,41,174.65764,584.174064,104.05136,70.60628,174.65764,588.447602,Seattle
1.0,3,1.5,0,0,3,7,98115,47.6822,-122.309,102.0,5.0,89,89,105.90942,568.56636,105.90942,0.0,167.2254,379.04424,Seattle
1.0,2,1.0,0,0,4,7,98155,47.7488,-122.304,817.0,1.0,61,61,144.92867999999999,940.642875,104.98039,39.94829,156.07704,940.642875,Shoreline
1.75,3,1.0,0,0,3,7,98072,47.7487,-122.082,76.0,1.0,47,47,178.37376,845.603106,178.37376,0.0,178.37376,906.73328,King County
2.5,5,1.0,0,0,4,7,98144,47.5817,-122.291,219.0,3.0,102,102,263.84452,464.515,150.50286,113.34166,204.3866,464.515,Seattle
2.5,4,2.0,0,0,3,7,98030,47.3734,-122.182,123.0,0.0,9,9,232.814918,578.971496,232.814918,0.0,192.30921,767.37878,Kent
2.75,4,2.0,0,0,3,9,98019,47.7353,-121.962,1228.0,0.0,23,23,209.03175,1314.484547,209.03175,0.0,227.61235,1303.150381,King County
2.25,3,1.0,0,0,3,7,98008,47.6316,-122.119,92.0,1.0,52,52,135.63838,669.83063,135.63838,0.0,171.87055,698.537657,Bellevue
1.75,2,2.0,0,0,3,8,98029,47.5478,-121.999,2074.0,1.0,10,10,130.0642,80.361095,103.12233,26.94187,128.20614,102.843621,King County
1.0,2,1.0,0,0,3,6,98115,47.6997,-122.314,166.0,5.0,84,84,81.75464,474.827233,81.75464,0.0,127.27711,474.827233,Seattle
1.0,3,1.5,0,0,3,6,98024,47.567,-121.893,232.0,4.0,75,75,129.13517,975.4815,129.13517,0.0,125.41905,910.4494,King County
2.25,4,1.5,0,0,3,8,98112,47.6359,-122.3,170.0,2.0,86,86,195.09629999999999,341.046913,162.58025,32.51605,167.2254,423.63768,Seattle
1.75,4,1.0,0,0,4,7,98133,47.7466,-122.34,475.0,2.0,59,59,208.10272,696.7725,104.05136,104.05136,133.78032,696.7725,Shoreline
2.0,5,1.5,0,0,3,6,98118,47.5192,-122.266,149.0,6.0,68,68,132.85129,520.2568,132.85129,0.0,172.79958,555.55994,Seattle
3.25,5,1.5,0,0,4,10,98105,47.6548,-122.28,498.0,6.0,88,88,341.88304,956.9009,341.88304,0.0,249.90906999999999,668.9016,Seattle
2.5,3,2.0,0,0,3,7,98042,47.3715,-122.127,1172.0,2.0,12,12,204.3866,393.90872,204.3866,0.0,204.3866,400.504833,King County
2.0,4,1.5,0,0,4,7,98198,47.3666,-122.318,1167.0,0.0,48,48,157.00607,717.954384,157.00607,0.0,137.49644,744.060127,King County
2.5,3,2.0,0,0,4,9,98033,47.6884,-122.204,122.0,1.0,26,26,183.94794,725.293721,183.94794,0.0,147.71577,704.111837,Kirkland
1.5,3,1.0,0,0,4,7,98031,47.3947,-122.197,553.0,0.0,53,53,118.91584,719.255026,118.91584,0.0,134.70935,772.581348,Kent
3.5,4,1.0,0,2,3,11,98033,47.6728,-122.189,395.0,2.0,13,13,436.6441,946.031249,247.12198,189.52212,350.24431,836.127,Kirkland
2.0,3,1.0,0,0,4,7,98117,47.6769,-122.371,437.0,4.0,106,106,146.78674,372.54103,73.39337,73.39337,125.41905,497.03105,Seattle
3.5,4,2.0,0,2,3,9,98115,47.6834,-122.292,151.0,2.0,11,11,325.1605,379.04424,240.61877,84.54173,225.75429,473.8053,Seattle
1.75,3,1.0,0,0,3,7,98155,47.7681,-122.307,429.0,0.0,57,57,155.14801,1121.803725,127.27711,27.8709,167.2254,1126.263069,King County
4.5,6,1.0,0,4,5,10,98177,47.7612,-122.381,1032.0,0.0,46,46,353.96043,2617.634928,353.96043,0.0,353.96043,2452.6392,Shoreline
2.0,3,1.5,0,0,4,7,98103,47.6693,-122.333,62.0,6.0,103,103,135.63838,580.64375,135.63838,0.0,157.00607,441.28925,Seattle
2.75,3,1.0,0,0,4,7,98034,47.7206,-122.248,1713.0,0.0,60,60,195.09629999999999,1871.99545,195.09629999999999,0.0,195.09629999999999,1439.9965,Kirkland
1.75,3,2.0,1,4,3,7,98125,47.7336,-122.284,767.0,0.0,75,55,163.50928,630.6255639999999,163.50928,0.0,151.43189,704.947964,Seattle
1.5,3,1.0,0,0,4,7,98031,47.3954,-122.191,182.0,0.0,35,35,135.63838,663.32742,91.04494,44.59344,130.0642,796.364516,Kent
2.0,3,1.5,0,0,5,7,98109,47.635,-122.353,372.0,7.0,111,111,240.61877,348.38625,166.29637,74.3224,226.68332,371.612,Seattle
2.0,3,1.0,0,0,3,7,98125,47.7165,-122.319,336.0,3.0,30,30,172.79958,671.874496,122.63195999999999,50.16762,170.01248999999999,670.7596599999999,Seattle
2.5,5,1.0,0,0,3,7,98034,47.7198,-122.171,156.0,0.0,37,37,208.10272,721.85631,124.49002,83.6127,169.08346,721.85631,Kirkland
3.0,3,2.0,0,0,4,8,98122,47.6126,-122.313,78.0,71.0,10,10,123.56099,128.113237,104.05136,19.50963,168.15443,164.43831,Seattle
1.75,2,1.0,0,0,3,8,98199,47.6529,-122.411,85.0,2.0,69,69,197.88339,610.744322,139.3545,58.52889,197.88339,582.966325,Seattle
1.0,2,1.0,0,0,3,7,98168,47.5081,-122.33,702.0,0.0,69,69,106.83845,853.406958,106.83845,0.0,129.13517,993.13307,King County
2.25,3,2.0,0,0,4,7,98022,47.1559,-121.646,34754.0,0.0,52,52,172.79958,1445.477777,172.79958,0.0,103.12233,1076.374158,King County
1.75,3,1.0,0,0,4,7,98136,47.5492,-122.389,205.0,4.0,97,97,158.86413,464.515,126.34808,32.51605,138.42547,580.64375,Seattle
2.5,3,2.0,0,0,3,8,98125,47.724,-122.327,345.0,1.0,31,31,124.49002,823.770901,124.49002,0.0,151.43189,676.984161,Seattle
1.75,3,1.5,0,0,3,6,98034,47.7244,-122.222,443.0,0.0,100,100,171.87055,1014.50076,171.87055,0.0,140.28353,731.239513,Kirkland
1.5,4,1.0,0,0,3,7,98023,47.3034,-122.383,525.0,0.0,36,36,132.85129,815.223825,95.69009,37.1612,129.13517,724.6434,Federal Way
